10817,10869,10001,MONTEBELLO/19TH AVE,,33.520003,-112.099648,0,0
10818,10870,10002,19TH AVE/CAMELBACK RD,,33.509554,-112.098148,0,0
10819,10871,10003,7TH AVE/CAMELBACK RD,,33.509305,-112.082749,0,0
10820,10872,10004,CENTRAL AVE/CAMELBACK,,33.508452,-112.074713,0,0
10852,10873,10005,CAMPBELL/CENTRAL AVE,,33.500919,-112.073729,0,0
10853,10874,10006,INDIAN SCHOOL/CENTRAL,,33.495203,-112.073728,0,0
10854,10875,10007,OSBORN RD/CENTRAL AVE,,33.486253,-112.073779,0,0
10855,10876,10008,THOMAS RD/CENTRAL AVE,,33.481104,-112.073813,0,0
10856,10877,10009,ENCANTO/CENTRAL AVE,,33.473106,-112.073814,0,0
10857,10878,10010,MCDOWELL/CENTRAL AVE,,33.464189,-112.073815,0,0
10879,10897,10011,ROOSEVELT/CENTRAL AVE,,33.459821,-112.073847,0,0
0,10880,10012,VAN BUREN/1ST AVE,,33.452252,-112.075081,0,0
0,10891,10013,JEFFERSON STREET/1ST AVE,,33.448188,-112.075198,0,0
0,10892,10014,3RD STREET/JEFFERSON,,33.44627,-112.069777,0,0
0,10893,10015,12TH STREET/JEFFERSON,,33.447237,-112.056297,0,0
0,10881,10016,24TH STREET/JEFFERSON,,33.447221,-112.029994,0,0
10882,10903,10017,38TH STREET/WASHINGTON,,33.448106,-112.000498,0,0
10858,10883,10018,44TH STREET/WASHINGTON,,33.448221,-111.987444,0,0
10859,10884,10019,PRIEST DR/WASHINGTON,,33.44159,-111.955712,0,0
10860,10885,10020,CENTER PKWY/WASHINGTON,,33.437819,-111.946145,0,0
10861,10894,10021,MILL AVE/THIRD STREET,,33.427538,-111.94018,0,0
10862,10895,10022,VETERANS WAY/COLLEGE,,33.42597,-111.935248,0,0
10863,10896,10023,UNIVERSITY DR/RURAL,,33.420438,-111.926529,0,0
10864,10886,10024,DORSEY LN/APACHE BLVD,,33.414787,-111.916346,0,0
10865,10887,10025,MCCLINTOCK DR/APACHE,,33.414771,-111.907278,0,0
10866,10888,10026,SMITH-MARTIN/APACHE,,33.414856,-111.900195,0,0
10867,10889,10027,PRICE-101 FWY/APACHE,,33.414856,-111.887546,0,0
10868,10890,10028,SYCAMORE/MAIN STREET,,33.414872,-111.870179,0,0
10902,0,10029,24TH STREET/WASHINGTON,,33.448238,-112.028631,0,0
10901,0,10030,12TH STREET/WASHINGTON,,33.448221,-112.056596,0,0
10900,0,10031,3RD STREET/WASHINGTON,,33.448271,-112.070179,0,0
10899,0,10032,WASHINGTON/CENTRAL,,33.448405,-112.073881,0,0
10898,0,10033,VAN BUREN/CENTRAL AVE,,33.451504,-112.074014,0,0
