service_id,date,exception_type
8,20150126,1
8,20150127,1
8,20150128,1
8,20150129,1
8,20150202,1
8,20150203,1
8,20150204,1
8,20150205,1
8,20150209,1
8,20150210,1
8,20150211,1
8,20150212,1
8,20150216,1
8,20150217,1
8,20150218,1
8,20150219,1
8,20150223,1
8,20150224,1
8,20150225,1
8,20150226,1
8,20150302,1
8,20150303,1
8,20150304,1
8,20150305,1
8,20150309,1
8,20150310,1
8,20150311,1
8,20150312,1
8,20150316,1
8,20150317,1
8,20150318,1
8,20150319,1
8,20150323,1
8,20150324,1
8,20150325,1
8,20150326,1
8,20150330,1
8,20150331,1
8,20150401,1
8,20150402,1
8,20150406,1
8,20150407,1
8,20150408,1
8,20150409,1
8,20150413,1
8,20150414,1
8,20150415,1
8,20150416,1
8,20150420,1
8,20150421,1
8,20150422,1
8,20150423,1
8,20150427,1
8,20150428,1
8,20150429,1
8,20150430,1
8,20150504,1
8,20150505,1
8,20150506,1
8,20150507,1
